id,code,sku,site,descricao,marca,potencia
181,KB-FT-181,PT600TW,Kabum,K-Mex Fonte 600W c/ Autoswitch e Cabo PT600TW,K-mex,600W
182,KB-FT-182,GA400,Kabum,Multilaser Fonte de Alimentação ATX 400W GA400,Multilaser,400W
183,KB-FT-183,GA230,Kabum,"Fonte Multilaser 450W (230W Real), Sem Cabo - GA230",Multilaser,450W
184,KB-FT-184,NXHUMMERX600WBZ,Kabum,Fonte Nox 600W 80 Plus Bronze Semi-Modular Hummer X - NXHUMMERX600WBZ,NOX,600W
185,KB-FT-185,NXURVX650BZ,Kabum,"Fonte Nox Urano 650W, 80 Plus Bronze, 230V - NXURVX650BZ",NOX,650W
186,KB-FT-186,NXURTX850BZ,Kabum,Fonte Nox Urano 850W 80 Plus Bronze - NXURTX850BZ,NOX,850W
187,KB-FT-187,NXURTX850,Kabum,"Fonte NOX URANO Series, 850W, ATX PSU NXURTX850",NOX,850W
188,KB-FT-188,NXHUMMERX500WBZ,Kabum,"Fonte Nox Hummer X 500W, 80 Plus Bronze - NXHUMMERX500WBZ",NOX,500W
189,KB-FT-189,NXURVX750BZ,Kabum,"Fonte Nox Urano, 750W, 80 Plus Bronze, 230V - NXURVX750BZ",NOX,750W
190,KB-FT-190,NP-C850M-WO,Kabum,"Fonte NZXT C850, 850W, 80 Plus Gold, Modular - NP-C850M-WO",NZXT,850W
191,KB-FT-191,MP500W3-I,Kabum,Fonte One Power 500W - MP500W3-I,Onepower,500W
192,KB-FT-192,MP600W3-I,Kabum,Fonte One Power 600W - MP600W3-I,Onepower,600W
193,KB-FT-193,MP200W-TFX,Kabum,Fonte One Power 200W Reais - MP200W-TFX,Onepower,200W
194,KB-FT-194,MP250W-SFX,Kabum,Fonte One Power 250W Reais - MP250W-SFX,Onepower,250W
195,KB-FT-195,PXSP400WPT,Kabum,"Fonte PCYes Spark 75+, 400W - PXSP400WPT",PCYes,400W
196,KB-FT-196,PXSP600WPT,Kabum,"Fonte PCYes Spark 75+, 600W - PXSP600WPT",PCYes,600W
197,KB-FT-197,ELECV2PTO450W,Kabum,"Fonte PCYes Electro V2 450W, 80 Plus Bronze - ELECV2PTO450W",PCYes,450W
198,KB-FT-198,PE1K0S0PSB,Kabum,Fonte Pixxo 1000W 80 Plus Silver - PE1K0S0PSB,Pixxo,1000W
199,KB-FT-199,PCG050018,Kabum,"Fonte Raptor, 600W, 80 Plus Bronze - PCG050018",Raptor,600W
200,KB-FT-200,RM-FE-01-AT,Kabum,Fonte Rise Mode Atomic Series 600W - RM-FE-01-AT,Rise Mode,600W
201,KB-FT-201,GM-850,Kabum,"Fonte Seasonic, 850W, 80 Plus Gold, Semi-Modular - FOCUS GM-850",Seasonic,850W
